FID,SoilSeries,SoilCode,Texture,Order,SubGroup,Centroid_Lon,Centroid_Lat,Depth_cm,Sand_pct,Silt_pct,Clay_pct,OrganicC_pct,pH,EC_dS_m,BulkDensity_g_cm3,FieldCapacity_vv,WiltingPoint_vv,Saturation_vv,PAW_vv,PAW_mm_profile
77,Sigulahalli,659,Sandy Clay Loam,Inceptisols,Typic Haplustepts,76.87017,12.62047,105.0,15.0,10.0,25.0,0.03,8.3,0.13,1.527,0.327,0.153,0.424,0.174,182.9
78,Sigulahalli,659,Sandy Clay Loam,Inceptisols,Typic Haplustepts,76.87017,12.62047,105.0,59.0,13.0,28.0,0.28,8.5,0.09,1.587,0.266,0.17,0.401,0.095,100.0
79,Sigulahalli,659,Sandy Clay Loam,Inceptisols,Typic Haplustepts,76.87017,12.62047,105.0,67.0,11.0,22.0,0.12,8.6,0.06,1.622,0.212,0.132,0.388,0.08,83.8
80,Sigulahalli,659,Clay,Inceptisols,Typic Haplustepts,76.87017,12.62047,105.0,38.0,17.0,45.0,0.03,8.4,0.12,1.453,0.39,0.268,0.452,0.122,128.2
81,Bennane,91,Sandy Clay Loam,Inceptisols,Typic Haplustepts,77.25556,12.3293,155.0,65.5,9.0,25.5,1.2,6.48,0.24,1.537,0.256,0.166,0.42,0.09,139.7
82,Bennane,91,Sandy Clay Loam,Inceptisols,Typic Haplustepts,77.25556,12.3293,155.0,64.2,4.0,21.2,0.1,7.05,0.41,1.621,0.212,0.128,0.388,0.085,131.2
83,Bennane,91,Sandy Clay Loam,Inceptisols,Typic Haplustepts,77.25556,12.3293,155.0,59.5,10.2,30.2,0.12,6.62,0.28,1.594,0.276,0.182,0.399,0.094,145.9
84,Bennane,91,Sandy Clay Loam,Inceptisols,Typic Haplustepts,77.25556,12.3293,155.0,67.2,7.0,25.8,0.8,6.62,0.24,1.571,0.247,0.163,0.407,0.085,131.1
85,Hagare,252,Sandy Loam,Alfisols,Typic Haplustalfs,76.87252,12.52625,109.0,78.0,4.0,18.0,0.65,5.4,0.5,1.585,0.178,0.114,0.402,0.063,68.8
86,Hagare,252,Sandy Clay Loam,Alfisols,Typic Haplustalfs,76.87252,12.52625,109.0,61.0,6.0,33.0,0.36,6.1,0.25,1.577,0.295,0.201,0.405,0.094,102.6
87,Hagare,252,Sandy Clay Loam,Alfisols,Typic Haplustalfs,76.87252,12.52625,109.0,60.0,8.0,32.0,0.28,6.5,0.25,1.58,0.289,0.194,0.404,0.095,103.3
88,Hagare,252,Sandy Clay Loam,Alfisols,Typic Haplustalfs,76.87252,12.52625,109.0,60.0,7.0,33.0,0.62,6.5,0.5,1.56,0.3,0.203,0.411,0.097,105.5
89,Hagare,252,Clay,Alfisols,Typic Haplustalfs,76.87252,12.52625,109.0,62.0,9.0,29.0,0.28,6.9,0.25,1.592,0.267,0.176,0.399,0.091,98.9
90,Koppa,440,Sandy Loam,Inceptisols,Typic Haplustepts,76.75339,12.65717,44.0,88.7,5.5,13.8,0.28,6.57,1.6,1.599,0.123,0.082,0.397,0.041,18.0
91,Koppa,440,Sandy Clay,Inceptisols,Typic Haplustepts,76.75339,12.65717,44.0,52.2,8.8,39.0,0.44,7.57,0.32,1.525,0.344,0.236,0.425,0.108,47.5
92,Koppa,440,Sandy Clay Loam,Inceptisols,Typic Haplustepts,76.75339,12.65717,44.0,71.4,4.0,24.5,0.28,7.08,2.69,1.616,0.223,0.149,0.39,0.074,32.5
93,Koppa,440,Loamy Sand,Inceptisols,Typic Haplustepts,76.75339,12.65717,44.0,77.9,3.0,8.2,0.36,6.62,0.19,1.573,0.115,0.051,0.406,0.064,28.1
