FID,SoilSeries,SoilCode,Texture,Order,SubGroup,Centroid_Lon,Centroid_Lat,Depth_cm,Sand_pct,Silt_pct,Clay_pct,OrganicC_pct,pH,EC_dS_m,BulkDensity_g_cm3,FieldCapacity_vv,WiltingPoint_vv,Saturation_vv,PAW_vv,PAW_mm_profile
91,Shantigrama,640,Clay Loam,Mollisols,Typic Haplustolls,76.15443,12.00031,145.0,34.0,26.4,39.6,0.52,5.62,0.01,1.448,0.367,0.239,0.453,0.128,185.9
92,Somvarpet,673,Sandy Clay Loam,Inceptisols,Mollic Endoaquepts,76.04617,12.26026,100.0,57.6,17.8,24.6,1.19,6.3,0.1,1.513,0.264,0.16,0.429,0.104,103.8
93,Somvarpet,673,Sandy Clay Loam,Inceptisols,Mollic Endoaquepts,76.04617,12.26026,100.0,52.0,20.0,28.0,1.14,6.78,0.08,1.502,0.291,0.179,0.433,0.112,111.8
94,Somvarpet,673,Clay,Inceptisols,Mollic Endoaquepts,76.04617,12.26026,100.0,33.8,16.8,49.4,0.44,7.18,0.01,1.396,0.417,0.294,0.473,0.123,123.0
95,Somvarpet,673,Clay,Inceptisols,Mollic Endoaquepts,76.04617,12.26026,100.0,32.2,16.2,51.6,0.46,6.43,0.04,1.375,0.429,0.307,0.481,0.123,122.7
96,Subramanya,677,Clay Loam,Ultisols,Ustic Haplohumults,76.29805,11.78468,90.0,37.8,26.8,35.4,1.53,5.02,0.02,1.414,0.351,0.222,0.466,0.13,116.6
97,Subramanya,677,Clay Loam,Ultisols,Ustic Haplohumults,76.29805,11.78468,90.0,43.8,16.4,39.8,0.81,5.59,0.01,1.473,0.36,0.243,0.444,0.118,106.1
98,Subramanya,677,Clay Loam,Ultisols,Ustic Haplohumults,76.29805,11.78468,90.0,34.8,26.6,38.6,0.86,5.29,0.02,1.437,0.364,0.235,0.458,0.129,115.7
99,Subramanya,677,Clay Loam,Ultisols,Ustic Haplohumults,76.29805,11.78468,90.0,34.4,27.2,38.4,1.41,5.12,0.02,1.403,0.367,0.237,0.471,0.13,117.1
100,Cauvery,137,Sandy Clay Loam,Inceptisols,Fluventic Haplustepts,76.36178,12.29106,75110.0,76.3,4.6,19.1,0.34,6.6,0.0,1.611,0.181,0.117,0.392,0.064,48232.6
101,Cauvery,137,Sand,Inceptisols,Fluventic Haplustepts,76.36178,12.29106,75110.0,92.1,4.9,3.0,0.5,6.9,0.0,1.497,0.06,0.019,0.435,0.041,30946.6
102,Cauvery,137,Sandy Loam,Inceptisols,Fluventic Haplustepts,76.36178,12.29106,75110.0,80.8,4.1,15.1,0.46,6.9,0.0,1.592,0.15,0.094,0.399,0.057,42485.1
103,Cauvery,137,Loamy Sand,Inceptisols,Fluventic Haplustepts,76.36178,12.29106,75110.0,84.8,7.1,8.1,0.42,7.1,0.0,1.558,0.101,0.05,0.412,0.051,38153.4
104,Cauvery,137,Sandy Clay Loam,Inceptisols,Fluventic Haplustepts,76.36178,12.29106,75110.0,72.3,7.9,19.8,0.36,7.0,0.0,1.607,0.193,0.122,0.394,0.072,53856.5
105,Hagare,252,Sandy Loam,Alfisols,Typic Haplustalfs,76.5127,12.3467,109.0,78.0,4.0,18.0,0.65,5.4,0.5,1.585,0.178,0.114,0.402,0.063,68.8
106,Hagare,252,Sandy Clay Loam,Alfisols,Typic Haplustalfs,76.5127,12.3467,109.0,61.0,6.0,33.0,0.36,6.1,0.25,1.577,0.295,0.201,0.405,0.094,102.6
107,Hagare,252,Sandy Clay Loam,Alfisols,Typic Haplustalfs,76.5127,12.3467,109.0,60.0,8.0,32.0,0.28,6.5,0.25,1.58,0.289,0.194,0.404,0.095,103.3
108,Hagare,252,Sandy Clay Loam,Alfisols,Typic Haplustalfs,76.5127,12.3467,109.0,60.0,7.0,33.0,0.62,6.5,0.5,1.56,0.3,0.203,0.411,0.097,105.5
109,Hagare,252,Clay,Alfisols,Typic Haplustalfs,76.5127,12.3467,109.0,62.0,9.0,29.0,0.28,6.9,0.25,1.592,0.267,0.176,0.399,0.091,98.9
110,Harihalli,274,Sandy Clay Loam,Inceptisols,Dystric Haplustepts,76.24542,12.11092,123.0,60.6,12.8,26.6,2.45,5.75,0.22,1.429,0.293,0.186,0.461,0.107,131.4
111,Harihalli,274,Sandy Clay Loam,Inceptisols,Dystric Haplustepts,76.24542,12.11092,123.0,62.0,10.0,28.0,0.68,4.89,0.05,1.567,0.267,0.175,0.409,0.093,114.2
112,Harihalli,274,Sandy Clay Loam,Inceptisols,Dystric Haplustepts,76.24542,12.11092,123.0,60.8,12.8,26.4,0.83,6.21,0.07,1.553,0.262,0.167,0.414,0.096,117.6
113,Harihalli,274,Sandy Clay Loam,Inceptisols,Dystric Haplustepts,76.24542,12.11092,123.0,59.6,12.4,28.0,0.44,4.62,0.05,1.577,0.267,0.172,0.405,0.095,117.2
114,Harihalli,274,Sandy Clay Loam,Inceptisols,Dystric Haplustepts,76.24542,12.11092,123.0,57.2,13.2,29.6,0.32,4.97,0.02,1.576,0.279,0.18,0.405,0.099,121.3
115,Anugatta,28,Sandy Loam,Ultisols,Typic Paleustalfs,75.97479,12.3478,138.0,65.0,16.0,19.0,1.77,5.7,0.5,1.465,0.233,0.136,0.447,0.096,133.0
116,Anugatta,28,Sandy Clay Loam,Ultisols,Typic Paleustalfs,75.97479,12.3478,138.0,62.0,12.0,26.0,0.66,5.4,0.25,1.568,0.255,0.163,0.408,0.092,127.6
117,Anugatta,28,Sandy Clay Loam,Ultisols,Typic Paleustalfs,75.97479,12.3478,138.0,59.0,13.0,28.0,0.16,4.9,0.25,1.596,0.264,0.169,0.398,0.095,130.5
118,Anugatta,28,Sandy Clay Loam,Ultisols,Typic Paleustalfs,75.97479,12.3478,138.0,54.0,11.0,35.0,0.26,5.4,0.25,1.554,0.316,0.212,0.413,0.104,143.5
