SoilCode,SoilCode_1,Horizon_Th,Min_Depth_,Max_Depth_,Sand_Perce,Silt_Perce,Clay_Perce,EC_dcpermi,Organic_Ca,Excha_Calc,Excha_Magn,Excha_Sodi,Excha_Pota,Cation_Exc,Base_Satur,Excha_So_1,Texture,pH,SoilCode_2,Groups,Sub_Groups,Family_Tex,Family_Min,Family_Tem,Orders,Sub_Orders,Sub_Soil_C,Surface_Te,Sub_Soil_G,Effervesce,Horizon,Soil_Depth,SoilCode_3,Soil_Serie,Shape_Leng,Shape_Area,area_km2
423,423,27.0,18.0,45.0,60.25,5.25,33.5,0.11,0.12,7.5,4.0,0.32,0.29,24.96,48.52,1.28,Sandy Clay Loam,6.67,423,Rhodustalfs,Typic Rhodustalfs,Loamy Skeletal,Mixed,Isohyperthermic,Alfisols,Ustalfs,"2.5YR3/3,3/4",Sandy Clay Loam,40-80,,A-Bt-BC-CR,50-75(65),423,Kenchayanadoddi,2067951.43938,683689332.782,0.22449655700344082
531,531,12.0,0.0,12.0,75.0,10.0,15.0,0.43,0.68,7.0,4.25,1.19,2.07,17.8,81.52,6.69,Sandy Loam,6.5,531,Haplustalfs,Typic Haplustalfs,Loamy Skeletal,Mixed,Isohyperthermic,Alfisols,Ustalfs,"5YR3/4, 4/4, 5/4, 2.5YR 3/6, 3/4",Sandy Loam,50,,A-Bt-Cr,50- 75(56),531,Muddapura,8682284.21712,1481789775.6,544.4761882016015
531,531,12.0,12.0,24.0,62.5,7.5,30.0,0.07,0.52,22.5,5.5,1.09,2.19,37.5,83.41,2.91,Sandy Clay Loam,6.6,531,Haplustalfs,Typic Haplustalfs,Loamy Skeletal,Mixed,Isohyperthermic,Alfisols,Ustalfs,"5YR3/4, 4/4, 5/4, 2.5YR 3/6, 3/4",Sandy Loam,50,,A-Bt-Cr,50- 75(56),531,Muddapura,8682284.21712,1481789775.6,544.4761882016015
531,531,32.0,24.0,56.0,42.5,22.5,35.0,0.11,0.2,16.25,7.5,1.06,2.27,34.2,79.18,3.1,Clay Loam,6.8,531,Haplustalfs,Typic Haplustalfs,Loamy Skeletal,Mixed,Isohyperthermic,Alfisols,Ustalfs,"5YR3/4, 4/4, 5/4, 2.5YR 3/6, 3/4",Sandy Loam,50,,A-Bt-Cr,50- 75(56),531,Muddapura,8682284.21712,1481789775.6,544.4761882016015
674,674,15.0,0.0,15.0,35.3,8.6,56.1,0.04,1.1,10.0,6.6,0.9,0.5,20.1,89.55,4.48,Clay,7.6,674,Haplustepts,Aquic Haplustepts,Fine,Mixed,Isohyperthermic,Inceptisols,Ustepts,"10YR4/2, 4/1",Clay,,,Ap-Bwg-C,100-150(112),674,Srinivasapur,9217998.55563,1282852056.14,35.33970441123631
674,674,19.0,15.0,34.0,29.8,12.6,57.6,0.04,0.7,10.7,7.0,1.0,1.3,21.9,91.32,4.57,Clay,7.8,674,Haplustepts,Aquic Haplustepts,Fine,Mixed,Isohyperthermic,Inceptisols,Ustepts,"10YR4/2, 4/1",Clay,,,Ap-Bwg-C,100-150(112),674,Srinivasapur,9217998.55563,1282852056.14,35.33970441123631
674,674,78.0,34.0,112.0,23.8,13.6,62.6,0.04,0.2,12.5,6.4,1.8,0.9,21.4,100.93,8.41,Clay,8.0,674,Haplustepts,Aquic Haplustepts,Fine,Mixed,Isohyperthermic,Inceptisols,Ustepts,"10YR4/2, 4/1",Clay,,,Ap-Bwg-C,100-150(112),674,Srinivasapur,9217998.55563,1282852056.14,35.33970441123631
722,722,12.0,0.0,12.0,68.25,8.5,13.25,0.37,0.91,12.8,4.8,0.96,0.63,21.12,90.86,4.55,Sandy Loam,6.66,722,Haplustepts,Typic Haplustepts,Loamy Skeletal,Mixed,Isohyperthermic,Inceptisols,Ustepts,"7.5YR3/4,5YR3/4",Sandy Loam,50-60,,Ap-Bw-cr,50-75(60),722,Vadesamudra,1049581.38387,303875412.16,134.6736129271349
722,722,24.0,12.0,36.0,64.25,12.25,23.5,0.22,0.8,9.5,13.5,0.76,0.19,25.74,93.05,2.95,Sandy Clay Loam,6.59,722,Haplustepts,Typic Haplustepts,Loamy Skeletal,Mixed,Isohyperthermic,Inceptisols,Ustepts,"7.5YR3/4,5YR3/4",Sandy Loam,50-60,,Ap-Bw-cr,50-75(60),722,Vadesamudra,1049581.38387,303875412.16,134.6736129271349
722,722,24.0,36.0,60.0,63.0,9.0,28.0,0.18,0.7,10.0,13.2,0.13,0.3,28.38,83.26,0.46,Sandy Clay Loam,6.78,722,Haplustepts,Typic Haplustepts,Loamy Skeletal,Mixed,Isohyperthermic,Inceptisols,Ustepts,"7.5YR3/4,5YR3/4",Sandy Loam,50-60,,Ap-Bw-cr,50-75(60),722,Vadesamudra,1049581.38387,303875412.16,134.6736129271349
143,143,20.0,0.0,20.0,77.0,6.0,17.0,0.18,1.4,7.0,4.5,0.41,1.0,15.4,84.0,2.66,Sandy Loam,5.8,143,Haplustepts,Typic Haplustepts,Fine Loamy,Mixed,Isohyperthermic,Inceptisols,Ustepts,"5YR4/4, 4/6, 5/6, 5/4,3/4, 3/3, 2.5YR 4/6",Sandy Loam,,,Ap-Bw-Cr,>150(160),143,Channarayapatna,638559.494238,105420016.736,3.1822085045489046
143,143,20.0,20.0,40.0,75.0,1.0,24.0,0.18,0.4,6.0,4.0,0.3,0.6,13.4,81.0,2.24,Sandy Clay Loam,5.7,143,Haplustepts,Typic Haplustepts,Fine Loamy,Mixed,Isohyperthermic,Inceptisols,Ustepts,"5YR4/4, 4/6, 5/6, 5/4,3/4, 3/3, 2.5YR 4/6",Sandy Loam,,,Ap-Bw-Cr,>150(160),143,Channarayapatna,638559.494238,105420016.736,3.1822085045489046
143,143,60.0,40.0,100.0,66.0,7.0,27.0,0.15,0.4,8.5,4.5,0.3,0.4,16.8,81.0,1.79,Sandy Clay Loam,5.6,143,Haplustepts,Typic Haplustepts,Fine Loamy,Mixed,Isohyperthermic,Inceptisols,Ustepts,"5YR4/4, 4/6, 5/6, 5/4,3/4, 3/3, 2.5YR 4/6",Sandy Loam,,,Ap-Bw-Cr,>150(160),143,Channarayapatna,638559.494238,105420016.736,3.1822085045489046
143,143,60.0,100.0,160.0,61.0,2.0,37.0,0.15,0.2,8.0,6.0,0.52,0.2,16.8,87.0,3.1,Sandy Clay,6.7,143,Haplustepts,Typic Haplustepts,Fine Loamy,Mixed,Isohyperthermic,Inceptisols,Ustepts,"5YR4/4, 4/6, 5/6, 5/4,3/4, 3/3, 2.5YR 4/6",Sandy Loam,,,Ap-Bw-Cr,>150(160),143,Channarayapatna,638559.494238,105420016.736,3.1822085045489046
41,41,20.0,0.0,20.0,76.07,5.75,17.5,0.36,0.74,4.0,3.2,0.1,0.26,7.92,95.45,3.28,Sandy Loam,7.46,41,Haplustepts,Typic Haplustepts,Clayey Skeletal,Mixed,Isohyperthermic,Inceptisols,Ustepts,"2.5YR3/6,10YR 4/6",Gravelly Sandy Loam,30-50,,A-Bw-Cr,100-150(102),41,Bachahalli,2772475.13649,385590027.061,201.67888688118248
41,41,20.0,82.0,102.0,54.5,3.75,41.75,0.22,0.12,2.0,1.8,0.1,0.25,9.9,41.92,2.53,Sandy Clay,6.46,41,Haplustepts,Typic Haplustepts,Clayey Skeletal,Mixed,Isohyperthermic,Inceptisols,Ustepts,"2.5YR3/6,10YR 4/6",Gravelly Sandy Loam,30-50,,A-Bw-Cr,100-150(102),41,Bachahalli,2772475.13649,385590027.061,201.67888688118248
41,41,26.0,20.0,46.0,67.25,4.25,28.5,0.23,0.17,6.0,5.0,0.2,0.4,17.6,65.91,2.27,Sandy Clay Loam,7.15,41,Haplustepts,Typic Haplustepts,Clayey Skeletal,Mixed,Isohyperthermic,Inceptisols,Ustepts,"2.5YR3/6,10YR 4/6",Gravelly Sandy Loam,30-50,,A-Bw-Cr,100-150(102),41,Bachahalli,2772475.13649,385590027.061,201.67888688118248
41,41,36.0,46.0,82.0,58.0,5.75,36.25,0.18,0.43,6.2,2.0,0.1,0.4,14.52,59.92,2.75,Sandy Clay,6.07,41,Haplustepts,Typic Haplustepts,Clayey Skeletal,Mixed,Isohyperthermic,Inceptisols,Ustepts,"2.5YR3/6,10YR 4/6",Gravelly Sandy Loam,30-50,,A-Bw-Cr,100-150(102),41,Bachahalli,2772475.13649,385590027.061,201.67888688118248
425,425,10.0,12.0,22.0,88.73,4.0,28.0,0.08,0.42,8.4,1.6,0.14,0.13,11.9,86.3,1.09,Sandy Clay Loam,6.09,425,Paleustalfs,Typic Paleustalfs,Loamy Skeletal,Mixed,Isohyperthermic,Alfisols,Ustalfs,"5YR3/4, 2.5YR 3/4, 3/6",Sand,35-45,,Ap-Bt-Cr,75-100(80),425,Kestur,864678.023909,138101179.862,95.79467645913799
425,425,12.0,0.0,12.0,70.74,2.0,7.75,0.1,0.0,5.5,1.5,0.15,0.15,8.6,84.88,1.74,Sand,5.79,425,Paleustalfs,Typic Paleustalfs,Loamy Skeletal,Mixed,Isohyperthermic,Alfisols,Ustalfs,"5YR3/4, 2.5YR 3/4, 3/6",Sand,35-45,,Ap-Bt-Cr,75-100(80),425,Kestur,864678.023909,138101179.862,95.79467645913799
425,425,20.0,22.0,42.0,66.28,4.75,22.75,0.13,0.3,8.0,1.5,0.16,0.12,12.5,78.24,0.96,Sandy Clay Loam,6.0,425,Paleustalfs,Typic Paleustalfs,Loamy Skeletal,Mixed,Isohyperthermic,Alfisols,Ustalfs,"5YR3/4, 2.5YR 3/4, 3/6",Sand,35-45,,Ap-Bt-Cr,75-100(80),425,Kestur,864678.023909,138101179.862,95.79467645913799
425,425,38.0,42.0,80.0,71.71,8.75,28.25,0.07,0.22,14.6,2.0,0.14,0.15,20.1,84.03,0.75,Sandy Clay Loam,6.53,425,Paleustalfs,Typic Paleustalfs,Loamy Skeletal,Mixed,Isohyperthermic,Alfisols,Ustalfs,"5YR3/4, 2.5YR 3/4, 3/6",Sand,35-45,,Ap-Bt-Cr,75-100(80),425,Kestur,864678.023909,138101179.862,95.79467645913799
525,525,12.0,18.0,30.0,56.95,3.75,39.0,0.17,0.47,15.2,2.2,0.2,0.2,19.2,92.71,1.32,Sandy Clay,5.95,525,Paleustalfs,Rhodic Paleustalfs,Clayey Skeletal,Mixed,Isohyperthermic,Alfisols,Ustalfs,"2.5YR3/4, 3/6",Loamy Sand,10-60,,A-Bt-cr,75-100(90),525,Modur,2556548.32992,630522658.652,41.39278926935957
